epoch	train_loss	train_acc	eval_acc
1	0.6791416096687317	0.6	0.6677599999999999
2	0.6516345524787903	0.65	0.72697
3	0.6071872735023498	0.77	0.8092100000000001
4	0.5345019906759262	0.88	0.8322400000000001
5	0.48430287003517153	0.93	0.82895
6	0.4604124540090561	0.95	0.79605
7	0.4558675163984299	0.95	0.82895
8	0.44280102610588074	0.96	0.8125
9	0.4390791183710098	0.97	0.8092100000000001
10	0.4366089957952499	0.97	0.8092100000000001
11	0.43291329085826874	0.98	0.7993399999999999
12	0.42960546135902405	0.98	0.7993399999999999
13	0.43228890776634216	0.97	0.8026300000000001
14	0.4308851182460785	0.98	0.7993399999999999
15	0.43236673057079317	0.97	0.80592
